1.Nf3 Nf6 2.b3 d5 3.Bb2 Bf5 4.g3 e6 
1.Nf3 Nf6 2.c4 c5 3.Nc3 d5 4.cxd5 Nxd5 
1.Nf3 Nf6 2.c4 c5 3.d4 b6 4.Nc3 Bb7 
1.Nf3 Nf6 2.c4 c5 3.d4 cxd4 4.Nxd4 e5 
1.Nf3 Nf6 2.c4 c5 3.g3 b6 4.Bg2 Bb7 
1.Nf3 Nf6 2.c4 c6 3.b3 d5 4.Bb2 Bf5 
1.Nf3 Nf6 2.c4 c6 3.d4 d5 4.Nc3 dxc4 
1.Nf3 Nf6 2.c4 c6 3.d4 d5 4.Nc3 e6 
1.Nf3 Nf6 2.c4 e6 3.Nc3 b6 4.g3 Bb7 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 Be7 
1.Nf3 Nf6 2.c4 e6 3.d4 Bb4 4.Nbd2 b6 
1.Nf3 Nf6 2.c4 e6 3.d4 d5 4.Bg5 Be7 
1.Nf3 Nf6 2.c4 e6 3.d4 d5 4.Bg5 Nbd7 
1.Nf3 Nf6 2.c4 e6 3.d4 d5 4.Nc3 Be7 
1.Nf3 Nf6 2.c4 e6 3.g3 b6 4.Bg2 Bb7 
1.Nf3 Nf6 2.c4 e6 3.g3 d5 4.b3 c5 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.g3 O-O 
1.Nf3 Nf6 2.c4 g6 3.b3 Bg7 4.Bb2 O-O 
1.Nf3 Nf6 2.c4 g6 3.b4 Bg7 4.Bb2 O-O 
1.Nf3 Nf6 2.d4 b6 3.c4 Bb7 4.Nc3 e6 
1.Nf3 Nf6 2.d4 b6 3.g3 Bb7 4.Bg2 c5 
1.Nf3 Nf6 2.d4 d5 3.Bf4 c5 4.e3 Nc6 
1.Nf3 Nf6 2.d4 e6 3.c4 b6 4.g3 Bb7 
1.Nf3 Nf6 2.d4 e6 3.c4 d5 4.Nc3 c6 
1.Nf3 Nf6 2.d4 g6 3.Nbd2 Bg7 4.e4 d6 
1.Nf3 Nf6 2.d4 g6 3.e3 Bg7 4.Bd3 O-O 
1.Nf3 d5 2.c4 c6 3.b3 Bf5 4.Bb2 e6 
1.Nf3 d5 2.c4 c6 3.b3 Bf5 4.g3 Nf6 
1.Nf3 d5 2.c4 c6 3.b3 Bg4 4.Bb2 Nf6 
1.Nf3 d5 2.c4 c6 3.d4 Nf6 4.Nc3 e6 
1.Nf3 d5 2.c4 c6 3.e3 Nf6 4.Nc3 Bg4 
1.Nf3 d5 2.c4 c6 3.e3 Nf6 4.Nc3 Nbd7 
1.Nf3 d5 2.c4 d4 3.d3 f6 4.g3 e5 
1.Nf3 d5 2.e3 Nf6 3.b3 e6 4.Bb2 Nbd7 
1.Nf3 d5 2.e3 Nf6 3.c4 c6 4.Nc3 e6 
1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O e5 
1.Nf3 f5 2.g3 Nf6 3.Bg2 e6 4.c4 Be7 
1.c4 Nf6 2.Nc3 c5 3.Nf3 Nc6 4.d4 cxd4 
1.c4 Nf6 2.Nc3 c5 3.e4 Nc6 4.f4 d6 
1.c4 Nf6 2.Nc3 c6 3.Nf3 d5 4.e3 e6 
1.c4 Nf6 2.Nc3 e6 3.b3 Be7 4.Bb2 O-O 
1.c4 Nf6 2.Nf3 c5 3.Nc3 Nc6 4.d4 cxd4 
1.c4 Nf6 2.Nf3 e6 3.d4 d5 4.e3 Be7 
1.c4 Nf6 2.Nf3 g6 3.b4 Bg7 4.Bb2 O-O 
1.c4 Nf6 2.g3 e6 3.Bg2 d5 4.d4 c5 
1.c4 c6 2.Nf3 d5 3.e3 Nf6 4.Nc3 e6 
1.c4 c6 2.d4 d5 3.Nf3 Nf6 4.Nc3 dxc4 
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d3 Bb4 
1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 
1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.d3 Bg7 
1.c4 e5 2.Nc3 Nf6 3.g3 Nc6 4.Bg2 g6 
1.c4 e6 2.Nf3 d5 3.d4 Nf6 4.Bg5 Be7 
1.c4 e6 2.d4 d5 3.Nf3 Nf6 4.Bg5 Be7 
1.d4 Nf6 2.Nd2 d5 3.e3 Bg4 4.f3 Bf5 
1.d4 Nf6 2.Nf3 b6 3.Bg5 Bb7 4.Nbd2 c5 
1.d4 Nf6 2.Nf3 b6 3.e3 Bb7 4.Bd3 c5 
1.d4 Nf6 2.Nf3 b6 3.e3 Bb7 4.Nbd2 e6 
1.d4 Nf6 2.Nf3 b6 3.g3 Bb7 4.Bg2 c5 
1.d4 Nf6 2.Nf3 c5 3.d5 e6 4.c4 d6 
1.d4 Nf6 2.Nf3 d5 3.Bf4 c5 4.e3 Qb6 
1.d4 Nf6 2.Nf3 d5 3.Bf4 e6 4.e3 Bd6 
1.d4 Nf6 2.Nf3 d5 3.c4 c6 4.Nc3 Bf5 
1.d4 Nf6 2.Nf3 d5 3.c4 c6 4.Nc3 dxc4 
1.d4 Nf6 2.Nf3 d5 3.c4 c6 4.e3 Bf5 
1.d4 Nf6 2.Nf3 d5 3.c4 c6 4.e3 e6 
1.d4 Nf6 2.Nf3 d5 3.c4 e6 4.Bg5 dxc4 
1.d4 Nf6 2.Nf3 d5 3.c4 e6 4.Nc3 Be7 
1.d4 Nf6 2.Nf3 d5 3.c4 e6 4.Nc3 Nbd7 
1.d4 Nf6 2.Nf3 d5 3.e3 e6 4.Bd3 c5 
1.d4 Nf6 2.Nf3 d6 3.Bg5 Nbd7 4.e3 e5 
1.d4 Nf6 2.Nf3 d6 3.Nc3 Bg4 4.e4 Nbd7 
1.d4 Nf6 2.Nf3 d6 3.Nc3 Nbd7 4.Bf4 c5 
1.d4 Nf6 2.Nf3 d6 3.Nc3 Nbd7 4.Bf4 c6 
1.d4 Nf6 2.Nf3 d6 3.Nc3 d5 4.Bf4 e6 
1.d4 Nf6 2.Nf3 d6 3.Qd3 Nbd7 4.e4 e5 
1.d4 Nf6 2.Nf3 d6 3.c3 Nbd7 4.Bf4 c6 
1.d4 Nf6 2.Nf3 d6 3.e3 Bg4 4.Be2 Nbd7 
1.d4 Nf6 2.Nf3 e6 3.Bg5 c5 4.Bxf6 Qxf6 
1.d4 Nf6 2.Nf3 e6 3.Bg5 c5 4.c3 Qb6 
1.d4 Nf6 2.Nf3 e6 3.Bg5 c5 4.e3 Nc6 
1.d4 Nf6 2.Nf3 e6 3.Bg5 c5 4.e3 Qb6 
1.d4 Nf6 2.Nf3 e6 3.Bg5 h6 4.Bh4 b6 
1.d4 Nf6 2.Nf3 e6 3.c4 Bb4 4.Bd2 Bxd2 
1.d4 Nf6 2.Nf3 e6 3.c4 Bb4 4.Bd2 Qe7 
1.d4 Nf6 2.Nf3 e6 3.c4 b6 4.Bg5 Bb7 
1.d4 Nf6 2.Nf3 e6 3.c4 b6 4.Nc3 Bb7 
1.d4 Nf6 2.Nf3 e6 3.c4 b6 4.g3 Bb7 
1.d4 Nf6 2.Nf3 e6 3.c4 d5 4.Bg5 Nbd7 
1.d4 Nf6 2.Nf3 e6 3.c4 d5 4.e3 Nbd7 
1.d4 Nf6 2.Nf3 e6 3.e3 b6 4.Bd3 Bb7 
