1.Nc3 Nf6 2.e4 e5 3.f4 d5 4.fxe5 Nxe4 
1.Nf3 Nc6 2.d4 d5 3.Bf4 Bg4 4.e3 e6 
1.Nf3 Nf6 2.b3 d5 3.Bb2 e6 4.g3 Be7 
1.Nf3 Nf6 2.c4 Nc6 3.d4 e6 4.a3 d6 
1.Nf3 Nf6 2.c4 b6 3.Nc3 Bb7 4.d4 e6 
1.Nf3 Nf6 2.c4 b6 3.Nc3 c5 4.e4 d6 
1.Nf3 Nf6 2.c4 b6 3.d4 e6 4.e3 Bb7 
1.Nf3 Nf6 2.c4 b6 3.g3 Bb7 4.Bg2 c5 
1.Nf3 Nf6 2.c4 b6 3.g3 Bb7 4.Bg2 e6 
1.Nf3 Nf6 2.c4 b6 3.g3 c5 4.Bg2 Bb7 
1.Nf3 Nf6 2.c4 b6 3.g3 e6 4.Bg2 Bb7 
1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6 4.d4 cxd4 
1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6 4.g3 d5 
1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6 4.g3 e5 
1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6 4.g3 e6 
1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6 4.g3 g6 
1.Nf3 Nf6 2.c4 c5 3.Nc3 b6 4.e4 d6 
1.Nf3 Nf6 2.c4 c5 3.Nc3 b6 4.g3 Bb7 
1.Nf3 Nf6 2.c4 c5 3.Nc3 d5 4.cxd5 Nxd5 
1.Nf3 Nf6 2.c4 c5 3.Nc3 e6 4.g3 b6 
1.Nf3 Nf6 2.c4 c5 3.Nc3 e6 4.g3 d5 
1.Nf3 Nf6 2.c4 c5 3.b3 g6 4.Bb2 Bg7 
1.Nf3 Nf6 2.c4 c5 3.g3 Nc6 4.Bg2 d6 
1.Nf3 Nf6 2.c4 c5 3.g3 Nc6 4.Nc3 d5 
1.Nf3 Nf6 2.c4 c5 3.g3 b6 4.Bg2 Bb7 
1.Nf3 Nf6 2.c4 c5 3.g3 d5 4.Bg2 Nc6 
1.Nf3 Nf6 2.c4 c5 3.g3 d5 4.cxd5 Nxd5 
1.Nf3 Nf6 2.c4 c5 3.g3 d5 4.d4 cxd4 
