1.a3 e5 2.c4 Nf6 3.Nc3 d5 4.cxd5 Nxd5 
1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4 a6 
1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5 
1.d4 e6 2.c4 d5 3.e3 Nf6 4.Nf3 c5 
1.d4 e6 2.c4 f5 3.f4 Nf6 4.a3 a5 
1.d4 f5 2.Nc3 Nf6 3.Bg5 e6 4.e4 fxe4 
1.d4 f5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Bb4 
1.d4 f5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 
1.e4 b6 2.d4 Bb7 3.Bd3 e6 4.Nh3 Ne7 
1.e4 b6 2.d4 Bb7 3.Bd3 e6 4.Nh3 c5 
1.e4 b6 2.d4 Bb7 3.Bd3 e6 4.Nh3 d5 
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e6 
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Bc5 
1.e4 c5 2.d4 cxd4 3.Nf3 Nc6 4.Nxd4 e5 
1.e4 c5 2.d4 cxd4 3.Nf3 Nc6 4.Nxd4 e6 
1.e4 c5 2.d4 cxd4 3.Nf3 e5 4.Bc4 Bb4 
1.e4 c5 2.d4 cxd4 3.Nf3 e5 4.Bc4 Be7 
1.e4 c5 2.d4 cxd4 3.Nf3 e6 4.Nxd4 Bc5 
1.e4 c5 2.d4 cxd4 3.Nf3 e6 4.Nxd4 Nc6 
1.e4 c5 2.f4 e6 3.Nf3 d5 4.exd5 exd5 
1.e4 d5 2.exd5 Nf6 3.d4 Nxd5 4.c4 Nf6 
1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.d4 e5 
1.e4 d5 2.exd5 Qxd5 3.Nc3 Qd8 4.d4 e6 
1.e4 e5 2.Bc4 Bc5 3.b4 Bb6 4.Nf3 d6 
1.e4 e5 2.Bc4 Bc5 3.b4 Bxb4 4.f4 d5 
1.e4 e5 2.Bc4 Nf6 3.Nf3 Nxe4 4.Nc3 Nxc3 
1.e4 e5 2.Bc4 f5 3.exf5 Nf6 4.Nc3 d5 
1.e4 e5 2.Nc3 Nc6 3.Bc4 Bc5 4.Nge2 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 Qe7 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d4 Nxd4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d4 exd4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7 4.c3 a6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 b5 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.Nc3 d6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.O-O Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bb6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 d5 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 d6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Nc3 Bc5 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 
1.e4 e5 2.Nf3 Nc6 3.Bc4 d6 4.c3 Be7 
1.e4 e5 2.Nf3 Nc6 3.Bc4 f5 4.d3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Bc5 4.Bb5 d6 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bc5 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 Bb4 
1.e4 e5 2.Nf3 Nc6 3.d4 Nxd4 4.Nxe5 Ne6 
1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Bc5 
1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Nf6 
1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 d6 
1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.c3 dxc3 
1.e4 e5 2.Nf3 Nf6 3.Bc4 Nxe4 4.Nc3 Nf6 
1.e4 e5 2.Nf3 Nf6 3.Bc4 Nxe4 4.Nc3 d5 
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 
1.e4 e5 2.Nf3 Qf6 3.Nc3 c6 4.d4 exd4 
1.e4 e5 2.Nf3 d5 3.exd5 e4 4.Qe2 Qe7 
1.e4 e5 2.Nf3 d6 3.d4 Bg4 4.dxe5 Bxf3 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Bc4 Be7 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Bc4 h6 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 Nf6 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 Bd7 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 Be6 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 Nc6 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 Nf6 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 a6 
1.e4 e5 2.Nf3 d6 3.d4 f5 4.Bc4 Nc6 
1.e4 e5 2.Nf3 d6 3.d4 f5 4.Nc3 fxe4 
1.e4 e5 2.Nf3 d6 3.d4 f5 4.dxe5 fxe4 
1.e4 e5 2.c3 Nf6 3.d4 Nxe4 4.dxe5 Bc5 
1.e4 e5 2.f4 Bc5 3.Nf3 Nc6 4.fxe5 d5 
1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.b4 Bb6 
1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.c3 Bg4 
